,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.548,0.871,11,-5.377,1,0.123,0.0397,0.0,0.357,0.487,120.009,audio_features,2Gmyw5Vg2X5YW2lM3OC7nD,spotify:track:2Gmyw5Vg2X5YW2lM3OC7nD,https://api.spotify.com/v1/tracks/2Gmyw5Vg2X5YW2lM3OC7nD,https://api.spotify.com/v1/audio-analysis/2Gmyw5Vg2X5YW2lM3OC7nD,196497,4
11,0.559,0.448,8,-4.11,1,0.0275,0.537,1.85e-05,0.0915,0.354,148.02,audio_features,4Jv7U0JJpbQnOrjtDwDZTZ,spotify:track:4Jv7U0JJpbQnOrjtDwDZTZ,https://api.spotify.com/v1/tracks/4Jv7U0JJpbQnOrjtDwDZTZ,https://api.spotify.com/v1/audio-analysis/4Jv7U0JJpbQnOrjtDwDZTZ,296653,4
12,0.69,0.815,11,-5.227,0,0.0426,0.0157,2.85e-06,0.0636,0.613,94.032,audio_features,18nkY3pJTub8WwEGiQAGh4,spotify:track:18nkY3pJTub8WwEGiQAGh4,https://api.spotify.com/v1/tracks/18nkY3pJTub8WwEGiQAGh4,https://api.spotify.com/v1/audio-analysis/18nkY3pJTub8WwEGiQAGh4,200243,4
13,0.651,0.913,9,-5.667,0,0.0384,0.0437,0.00133,0.311,0.736,120.028,audio_features,32H7fwKsaYtSl6qiXFI6I6,spotify:track:32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/tracks/32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/audio-analysis/32H7fwKsaYtSl6qiXFI6I6,187267,4
14,0.633,0.723,8,-5.733,0,0.143,0.107,0.0,0.0818,0.688,103.101,audio_features,6H0PLsSYMzDOqhLgyOlzIj,spotify:track:6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/tracks/6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/audio-analysis/6H0PLsSYMzDOqhLgyOlzIj,264533,4
15,0.688,0.457,2,-8.635,1,0.0487,0.206,1.51e-05,0.406,0.445,87.99,audio_features,52RfEh76AVKPwtUtTV9ufl,spotify:track:52RfEh76AVKPwtUtTV9ufl,https://api.spotify.com/v1/tracks/52RfEh76AVKPwtUtTV9ufl,https://api.spotify.com/v1/audio-analysis/52RfEh76AVKPwtUtTV9ufl,296547,4
16,0.702,0.732,10,-6.803,1,0.0266,0.0749,0.0,0.297,0.636,100.0,audio_features,6IHWPY5iBUI1AOUclbtE6F,spotify:track:6IHWPY5iBUI1AOUclbtE6F,https://api.spotify.com/v1/tracks/6IHWPY5iBUI1AOUclbtE6F,https://api.spotify.com/v1/audio-analysis/6IHWPY5iBUI1AOUclbtE6F,262800,4
17,0.352,0.791,4,-3.27,0,0.0797,0.251,0.0,0.307,0.511,169.638,audio_features,1MwOfRqCALxvx9keUhGCdV,spotify:track:1MwOfRqCALxvx9keUhGCdV,https://api.spotify.com/v1/tracks/1MwOfRqCALxvx9keUhGCdV,https://api.spotify.com/v1/audio-analysis/1MwOfRqCALxvx9keUhGCdV,297997,4
18,0.466,0.584,11,-4.942,1,0.0323,0.153,0.0,0.224,0.663,169.923,audio_features,3k6o8UMc7aVgpKqm9epIrU,spotify:track:3k6o8UMc7aVgpKqm9epIrU,https://api.spotify.com/v1/tracks/3k6o8UMc7aVgpKqm9epIrU,https://api.spotify.com/v1/audio-analysis/3k6o8UMc7aVgpKqm9epIrU,237880,4
19,0.657,0.697,5,-7.392,1,0.0297,0.00105,0.0225,0.286,0.915,120.028,audio_features,18gB0d6DaRPvrQBbl7WEuk,spotify:track:18gB0d6DaRPvrQBbl7WEuk,https://api.spotify.com/v1/tracks/18gB0d6DaRPvrQBbl7WEuk,https://api.spotify.com/v1/audio-analysis/18gB0d6DaRPvrQBbl7WEuk,212000,4
